                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
  plat_apple::mach_absolute_time_ticks            None   1,000,000   1,166   1,375    1,345     1,416         46,254        214       ---
     plat_apple::gettime_nsec_np_clock      UPTIME_RAW   1,000,000   1,208   1,375    1,345     1,417      9,598,708      9,597  0.999968
                               instant            None   1,000,000   1,208   1,375    1,338     1,417         49,291        110  0.999869
     plat_apple::gettime_nsec_np_clock       MONOTONIC   1,000,000   1,000   1,000    1,345     2,000         29,000        479  1.000265
     plat_apple::gettime_nsec_np_clock   MONOTONIC_RAW   1,000,000   1,166   1,375    1,363     1,417         31,792        103  0.999934
                    libc_gettime_clock      UPTIME_RAW   1,000,000   1,166   1,375    1,361     1,458         37,959        121  0.999966
                    libc_gettime_clock       MONOTONIC   1,000,000   1,000   1,000    1,370     2,000         31,000        487  0.999805
                    libc_gettime_clock   MONOTONIC_RAW   1,000,000   1,166   1,375    1,402     1,625        444,208        485  0.999934
     plat_apple::gettime_nsec_np_clock  THREAD_CPUTIME   1,000,000   1,250   1,458    1,446     1,708         31,041        135  0.006140
                    libc_gettime_clock  THREAD_CPUTIME   1,000,000   1,250   1,500    1,456     1,542         57,125        128  0.006868
