                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
                    libc_gettime_clock  THREAD_CPUTIME     100,000   8,560   9,560    9,701     9,750        192,160      4,064  0.000845
                    libc_gettime_clock  THREAD_CPUTIME     100,000   8,530   9,590    9,682     9,810        171,300      3,228  0.007462
                   plat_x86_64::rdtscp            None     100,000   7,770   8,830   34,726     9,030     62,020,383  1,044,923       ---
                               instant            None     100,000   8,000   8,910   39,171     9,110     59,017,631  1,020,012  0.999878
                   plat_x86_64::rdtscp            None     100,000   7,769   8,849   42,801     9,049     60,019,491  1,117,507       ---
                    libc_gettime_clock   MONOTONIC_RAW     100,000   7,810   8,880   44,012     9,080     66,017,974  1,233,766  0.999977
                               instant            None     100,000   7,789   8,860   54,322     9,060     59,030,401  1,306,065  0.999768
                    libc_gettime_clock       MONOTONIC     100,000   7,790   8,880   56,495     9,090     64,016,862  1,360,952  0.999906
                   plat_x86_64::rdtscp            None     100,000   8,009   8,879   55,916     9,059     60,017,540  1,365,291       ---
                   plat_x86_64::rdtscp            None     100,000   7,820   8,880   54,348     9,060     69,017,099  1,340,675       ---
                               instant            None     100,000   7,900   8,870   59,026     9,080     56,015,241  1,315,380  0.999926
                    libc_gettime_clock       MONOTONIC     100,000   7,799   8,870   60,408     9,080     63,016,491  1,439,878  0.999984
                    libc_gettime_clock  THREAD_CPUTIME     100,000   8,560   9,630    9,715     9,860        169,210      3,004  0.008694
                    libc_gettime_clock       MONOTONIC     100,000   7,780   8,870   58,993     9,080     64,016,412  1,416,269  0.999991
                               instant            None     100,000   7,800   8,879   61,669     9,080     53,030,780  1,362,654  0.999920
                               instant            None     100,000   7,789   8,830   65,738     9,040     62,024,372  1,479,385  0.999900
                   plat_x86_64::rdtscp            None     100,000   7,770   8,850   67,919     9,050     66,019,352  1,481,668       ---
                    libc_gettime_clock  THREAD_CPUTIME     100,000   8,560   9,640    9,738     9,850        182,470      3,664  0.001584
                   plat_x86_64::rdtscp            None     100,000   7,859   8,859   69,138     9,049     58,017,346  1,502,281       ---
                    libc_gettime_clock   MONOTONIC_RAW     100,000   7,790   8,890   71,203     9,080     64,017,414  1,635,710  0.999990
                               instant            None     100,000   7,800   8,879   72,687     9,079     62,016,731  1,488,618  0.999925
                    libc_gettime_clock   MONOTONIC_RAW     100,000   7,800   8,870   72,170     9,070     67,018,934  1,628,572  0.999906
                               instant            None     100,000   7,819   8,880   75,733     9,079     60,021,721  1,651,025  0.999925
                   plat_x86_64::rdtscp            None     100,000   8,109   8,889   76,899     9,069     65,017,876  1,649,682       ---
