                                fnname          clock     nsamples     min  perc50        mean  perc95            max      stddev        drift
                                ------          -----     --------     ---  ------        ----  ------            ---      ------        -----
                               instant           None      100,000   7,940   8,860      39,827   9,080     96,027,725   1,074,243     0.999906
                    libc_gettime_clock      MONOTONIC      100,000   7,780   8,660      40,274   9,160    103,017,391   1,179,949     0.999980
                    libc_gettime_clock  MONOTONIC_RAW      100,000   7,800   8,870      42,792   9,090    108,024,620   1,323,144     1.000003
                    libc_gettime_clock      MONOTONIC      100,000   7,779   8,880      45,479   9,120    110,016,652   1,344,841     0.999943
                    libc_gettime_clock THREAD_CPUTIME      100,000   8,540   9,630       9,712   9,850        176,980       1,812     0.001651
                   plat_x86_64::rdtscp           None      100,000   7,869   8,849      51,363   9,059     97,015,188   1,427,346          ---
                    libc_gettime_clock      MONOTONIC      100,000   7,960   8,870      51,576   9,100     92,017,038   1,447,687     0.999994
                    libc_gettime_clock  MONOTONIC_RAW      100,000   7,790   8,850      52,750  10,250     80,025,830   1,431,147     0.999999
                   plat_x86_64::rdtscp           None      100,000   8,039   8,849      59,836   9,059    109,019,957   1,481,276          ---
                    libc_gettime_clock  MONOTONIC_RAW      100,000   7,790   8,860      64,113   9,100    110,022,841   1,581,126     0.999951
                               instant           None      100,000   8,080   8,870      64,765   9,090    125,021,653   1,579,894     0.999908
                   plat_x86_64::rdtscp           None      100,000   7,779   8,849      63,976   9,059     87,018,045   1,532,018          ---
                   plat_x86_64::rdtscp           None      100,000   7,769   8,849      67,451   9,069     83,018,797   1,672,999          ---
                               instant           None      100,000   7,810   8,880      70,915   9,109     73,016,364   1,574,830     0.999977
                    libc_gettime_clock      MONOTONIC      100,000   7,800   8,870      70,722   9,109     92,020,991   1,605,219     0.999994
                    libc_gettime_clock      MONOTONIC      100,000   7,810   8,860      72,339   9,100     89,016,237   1,612,249     0.999996
                    libc_gettime_clock THREAD_CPUTIME      100,000   8,570   9,640       9,683   9,880         59,320         683     0.001338
                    libc_gettime_clock  MONOTONIC_RAW      100,000   7,800   8,870      78,365   9,100    101,032,818   1,818,811     1.000006
                    libc_gettime_clock      MONOTONIC      100,000   7,780   8,860      77,406   9,080    106,020,181   1,834,565     0.999991
                               instant           None      100,000   7,790   8,869      78,128   9,110    105,018,062   1,954,194     0.999821
                               instant           None      100,000   7,800   8,870      83,318   9,090    114,021,873   1,806,573     0.999909
                   plat_x86_64::rdtscp           None      100,000   7,779   8,879      83,249   9,089     93,019,551   1,946,052          ---
                    libc_gettime_clock  MONOTONIC_RAW      100,000   7,790   8,860      84,069   9,230    100,052,287   1,884,811     1.000007
                   plat_x86_64::rdtscp           None      100,000   7,819   8,819      85,404   9,059    100,020,839   2,039,326          ---
                               instant           None      100,000   7,800   8,870      87,650   9,100    106,022,341   1,895,555     0.999785
                    libc_gettime_clock      MONOTONIC      100,000   7,800   8,860      87,318   9,100     99,021,759   1,833,720     0.999993
                               instant           None      100,000   7,900   8,850      89,493   9,159    102,019,910   1,997,689     0.999981
                               instant           None      100,000   7,899   8,880      90,404   9,240    110,018,909   1,950,567     0.999974
                               instant           None      100,000   7,900   8,880      92,977   9,120    115,021,397   2,067,102     0.999878
