                                fnname           clock    nsamples     min  perc50     mean    perc95            max     stddev     drift
                                ------           -----    --------     ---  ------     ----    ------            ---     ------     -----
                               instant            None     100,000   8,811   9,372   90,798    20,502     68,080,539  1,618,273  0.999599
                               instant            None     100,000   8,811   9,367   92,095    20,270    112,172,978  1,662,206  0.999837
                               instant            None     100,000   8,811   9,374   90,660    20,270     64,233,949  1,612,270  0.999986
                   plat_x86_64::rdtscp            None     100,000   8,800   9,363   92,250    20,216     68,026,268  1,627,117       ---
                    libc_gettime_clock   MONOTONIC_RAW     100,000   8,810   9,380   92,690    20,282     97,603,299  1,644,965  0.999854
                   plat_x86_64::rdtscp            None     100,000   8,802   9,370   92,193    20,186     53,722,439  1,625,170       ---
                    libc_gettime_clock  THREAD_CPUTIME     100,000   9,350   9,949   11,189    20,967        494,797      5,943  0.010126
                    libc_gettime_clock  THREAD_CPUTIME     100,000   9,350   9,941   11,061    20,915        474,920      5,143  0.009848
                    libc_gettime_clock  THREAD_CPUTIME     100,000   9,346   9,943   11,086    20,966        568,097      5,255  0.008456
                               instant            None     100,000   8,811   9,373   95,350    20,076     67,819,687  1,758,232  0.999495
                   plat_x86_64::rdtscp            None     100,000   8,798   9,362   98,546    20,417     76,225,214  1,877,397       ---
                    libc_gettime_clock       MONOTONIC     100,000   8,806   9,110   97,494    20,402     88,082,192  1,892,185  0.999891
                               instant            None     100,000   8,811   9,379  100,530    20,187     99,645,967  1,814,529  0.999832
                   plat_x86_64::rdtscp            None     100,000   8,803   9,373  101,033    20,256     68,438,345  1,812,228       ---
                    libc_gettime_clock  THREAD_CPUTIME     100,000   9,349   9,961   11,366    20,914        476,592      4,411  0.021358
                   plat_x86_64::rdtscp            None     100,000   8,328   9,378  101,689    20,199     72,078,234  1,816,852       ---
                    libc_gettime_clock   MONOTONIC_RAW     100,000   8,323   9,380  101,548    20,153     64,152,465  1,826,678  0.999958
                    libc_gettime_clock       MONOTONIC     100,000   8,320   9,108  100,858    20,102     68,030,557  1,801,785  0.999982
                    libc_gettime_clock   MONOTONIC_RAW     100,000   8,708   9,380  101,488    20,180     60,030,166  1,804,328  0.999983
                    libc_gettime_clock   MONOTONIC_RAW     100,000   8,810   9,381  100,704    20,239     68,036,055  1,804,814  0.999824
                    libc_gettime_clock   MONOTONIC_RAW     100,000   8,805   9,366  103,044    20,486     75,963,934  1,926,041  0.999828
                    libc_gettime_clock  THREAD_CPUTIME     100,000   9,349   9,954   11,269    20,926        547,122      5,451  0.003963
                               instant            None     100,000   8,323   9,366  103,028    20,466     76,092,979  1,926,721  0.999117
                    libc_gettime_clock       MONOTONIC     100,000   8,321   9,100  103,778    20,473     68,084,216  1,930,629  0.999922
                    libc_gettime_clock       MONOTONIC     100,000   8,320   9,361  103,208    20,508     71,949,770  1,925,268  0.999989
                    libc_gettime_clock       MONOTONIC     100,000   8,320   9,362  104,197    20,554     80,061,228  1,927,044  0.999989
                   plat_x86_64::rdtscp            None     100,000   8,329   9,111  104,376    20,439     72,005,197  1,946,997       ---
                    libc_gettime_clock       MONOTONIC     100,000   8,320   9,362  103,045    20,535     55,811,034  1,914,541  0.999928
                    libc_gettime_clock   MONOTONIC_RAW     100,000   8,804   9,363  103,672    20,517     79,833,594  1,918,341  0.999849
                    libc_gettime_clock  THREAD_CPUTIME     100,000   8,833   9,681   10,948    21,171        483,858      5,251  0.010784
