$ grep "model name" /proc/cpuinfo  | head -1
model name      : Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz
$ uname -a
Linux boopie 6.1.0-21-amd64 #1 SMP PREEMPT_DYNAMIC Debian 6.1.90-1 (2024-05-03) x86_64 x86_64 x86_64 GNU/Linux
$ ./target/release/measure-clocks
Hello, world!
instant
     nanos          #  # < nanos  # > nanos
     -----          -  ---------  ---------
        66        274        274        726
        67        373        647        353
        68         85        732        268
        70        239        971         29
        71         24        995          5
        73          1        996          4
        74          2        998          2
       100          1        999          1
       280          1      1,000          0

libc_gettime_cputime
     nanos          #  # < nanos  # > nanos
     -----          -  ---------  ---------
     1,575          1          1        999
     1,581          2          3        997
     1,582          6          9        991
     1,584          4         13        987
     1,585         10         23        977
     1,586          6         29        971
     1,588         26         55        945
     1,589         24         79        921
     1,590          3         82        918
     1,591         17         99        901
     1,592         75        174        826
     1,594         14        188        812
     1,595         77        265        735
     1,596         45        310        690
     1,598         82        392        608
     1,599         54        446        554
     1,600          5        451        549
     1,601         24        475        525
     1,602        104        579        421
     1,604          9        588        412
     1,605         57        645        355
     1,606         34        679        321
     1,608         37        716        284
     1,609         42        758        242
     1,610          4        762        238
     1,611         10        772        228
     1,612         54        826        174
     1,614          9        835        165
     1,615         21        856        144
     1,616         12        868        132
     1,618          5        873        127
     1,619         16        889        111
     1,620          2        891        109
     1,621          5        896        104
     1,622         15        911         89
     1,624          2        913         87
     1,625          5        918         82
     1,626          2        920         80
     1,628          4        924         76
     1,629          3        927         73
     1,630          1        928         72
     1,632          4        932         68
     1,635          1        933         67
     1,638          1        934         66
     1,639          2        936         64
     1,642          2        938         62
     1,644          2        940         60
     1,645          1        941         59
     1,648          1        942         58
     1,649          1        943         57
     1,650          1        944         56
     1,652          2        946         54
     1,656          1        947         53
     1,658          4        951         49
     1,659          1        952         48
     1,662          1        953         47
     1,665          2        955         45
     1,666          1        956         44
     1,668          3        959         41
     1,669          4        963         37
     1,672          5        968         32
     1,675          2        970         30
     1,678          2        972         28
     1,679          2        974         26
     1,682          3        977         23
     1,685          1        978         22
     1,686          3        981         19
     1,688          1        982         18
     1,692          1        983         17
     1,695          1        984         16
     1,702          1        985         15
     1,712          1        986         14
     1,725          1        987         13
     1,728          1        988         12
     1,812          1        989         11
     1,826          1        990         10
     1,838          1        991          9
     1,902          1        992          8
     2,062          1        993          7
     3,340          1        994          6
     5,943          1        995          5
     6,145          1        996          4
     6,628          1        997          3
    12,051          1        998          2
    12,617          1        999          1
    47,659          1      1,000          0

libc_gettime_monotonic
     nanos          #  # < nanos  # > nanos
     -----          -  ---------  ---------
        60         14         14        986
        61          1         15        985
        62         67         82        918
        63        448        530        470
        64        467        997          3
        66          1        998          2
        91          1        999          1
       164          1      1,000          0

libc_gettime_monotonic_raw
     nanos          #  # < nanos  # > nanos
     -----          -  ---------  ---------
        62         68         68        932
        63        459        527        473
        64        471        998          2
        73          1        999          1
       134          1      1,000          0

rdtscp
freq 2197 MHz
     nanos          #  # < nanos  # > nanos
     -----          -  ---------  ---------
        20          1          1        999
        21          1          2        998
        22         11         13        987
        24          3         16        984
        25          1         17        983
        26          4         21        979
        27         16         37        963
        28         28         65        935
        29         18         83        917
        30        338        421        579
        31         40        461        539
        32          1        462        538
        33        413        875        125
        34          5        880        120
        36         43        923         77
        37          1        924         76
        40          5        929         71
        42          1        930         70
        43          5        935         65
        44          3        938         62
        45          1        939         61
        47          5        944         56
        49          3        947         53
        50          4        951         49
        53          1        952         48
        54          3        955         45
        55          1        956         44
        56          6        962         38
        60          4        966         34
        63         34      1,000          0
