                             fnname    nsamples     min  perc50     mean    perc95        max     stddev
                             ------    --------     ---  ------     ----    ------        ---     ------
                            instant  10,000,000   1,208   1,541    1,436     1,625  2,069,958        708
   plat_apple::m_mach_absolute_time  10,000,000   1,166   1,541    1,466     1,625    111,583        216
      plat_apple::nsec_np_monotonic  10,000,000   1,000   1,000    1,469     2,000     40,000        508
  plat_apple::nsec_np_monotonic_raw  10,000,000   1,166   1,583    1,477     1,625  1,488,916        501
     plat_apple::nsec_np_uptime_raw  10,000,000   1,166   1,583    1,478     1,625    137,791        182
                          monotonic  10,000,000   1,000   1,000    1,476     2,000  2,656,000        983
                      monotonic_raw  10,000,000   1,166   1,583    1,494     1,625  1,511,042        583
             plat_apple::uptime_raw  10,000,000   1,166   1,584    1,512     1,625    184,792        184
                            cputime  10,000,000   1,000   3,000   12,346     6,000 11,602,000    115,539
        plat_apple::nsec_np_cputime  10,000,000   1,000   3,000   13,780     6,000 15,306,886,000  4,841,826
