Hello, world!
instant
     nanos          #  # < nanos  # > nanos
     -----          -  ---------  ---------
         0    330,396    330,396    669,604
        41    217,831    548,227    451,773
        42    435,628    983,855     16,145
        83     10,691    994,546      5,454
        84      5,401    999,947         53
       125         39    999,986         14
       167          4    999,990         10
     3,917          1    999,991          9
     6,167          1    999,992          8
     8,667          1    999,993          7
     9,042          1    999,994          6
    20,750          1    999,995          5
    22,584          1    999,996          4
    33,250          1    999,997          3
    41,834          1    999,998          2
    46,083          1    999,999          1
    52,834          1  1,000,000          0

libc_gettime_cputime
     nanos          #  # < nanos  # > nanos
     -----          -  ---------  ---------
         0    779,120    779,120    220,880
     1,000    210,236    989,356     10,644
     2,000     10,638    999,994          6
     3,000          4    999,998          2
     5,000          1    999,999          1
    11,000          1  1,000,000          0

libc_gettime_monotonic
     nanos          #  # < nanos  # > nanos
     -----          -  ---------  ---------
         0    986,776    986,776     13,224
     1,000     13,222    999,998          2
     2,000          1    999,999          1
     7,000          1  1,000,000          0

libc_gettime_monotonic_raw
     nanos          #  # < nanos  # > nanos
     -----          -  ---------  ---------
         0    748,383    748,383    251,617
        41     83,894    832,277    167,723
        42    167,488    999,765        235
        83         82    999,847        153
        84         38    999,885        115
       125         87    999,972         28
       166         12    999,984         16
       167         11    999,995          5
       208          1    999,996          4
       209          1    999,997          3
     2,250          1    999,998          2
     2,417          1    999,999          1
    16,625          1  1,000,000          0

libc_gettime_uptime_raw
     nanos          #  # < nanos  # > nanos
     -----          -  ---------  ---------
         0    748,600    748,600    251,400
        41     83,380    831,980    168,020
        42    167,754    999,734        266
        83         96    999,830        170
        84         51    999,881        119
       125         90    999,971         29
       166         11    999,982         18
       167         15    999,997          3
       208          1    999,998          2
     2,416          1    999,999          1
    16,416          1  1,000,000          0

mach_absolute_time
mach_timebase_info: mach_timebase_info { numer: 125, denom: 3 }
     nanos          #  # < nanos  # > nanos
     -----          -  ---------  ---------
         0    909,425    909,425     90,575
        41     90,533    999,958         42
        83         37    999,995          5
       125          5  1,000,000          0
