                             fnname    nsamples     min  perc50     mean    perc95        max     stddev
                             ------    --------     ---  ------     ----    ------        ---     ------
                            instant  10,000,000   1,208   1,541    1,435     1,625  2,842,625        947
   plat_apple::m_mach_absolute_time  10,000,000   1,166   1,583    1,471     1,625     59,208        186
      plat_apple::nsec_np_monotonic  10,000,000   1,000   1,000    1,464     2,000    536,000        541
                          monotonic  10,000,000   1,000   1,000    1,467     2,000  6,286,000      2,052
  plat_apple::nsec_np_monotonic_raw  10,000,000   1,208   1,583    1,485     1,625    533,042        248
     plat_apple::nsec_np_uptime_raw  10,000,000   1,208   1,583    1,492     1,625    135,125        295
                      monotonic_raw  10,000,000   1,208   1,584    1,505     1,625  2,645,333        860
             plat_apple::uptime_raw  10,000,000   1,208   1,583    1,505     1,625  1,771,667        592
        plat_apple::nsec_np_cputime  10,000,000   1,000   3,000   15,492     6,000 15,246,084,000  6,762,768
                            cputime  10,000,000   1,000   3,000   12,452     6,000 15,128,000    117,026
