                                fnname    nsamples     min  perc50     mean    perc95            max     stddev
                                ------    --------     ---  ------     ----    ------            ---     ------
                          instant_secs  10,000,000   1,208   1,292    1,429     1,625         88,083        197
   plat_apple::mach_absolute_time_secs  10,000,000   1,166   1,583    1,473     1,625         60,750        219
    plat_apple::nsec_np_monotonic_secs  10,000,000   1,000   1,000    1,469     2,000         61,000        515
plat_apple::nsec_np_monotonic_raw_secs  10,000,000   1,208   1,583    1,477     1,625         65,917        210
   plat_apple::nsec_np_uptime_raw_secs  10,000,000   1,208   1,583    1,479     1,625         65,042        205
                        monotonic_secs  10,000,000   1,000   1,000    1,472     2,000        124,000        513
                    monotonic_raw_secs  10,000,000   1,167   1,583    1,499     1,625      1,163,208        446
           plat_apple::uptime_raw_secs  10,000,000   1,041   1,583    1,503     1,625      1,986,125        661
      plat_apple::nsec_np_cputime_secs  10,000,000   1,000   3,000   12,382     5,000      6,647,000    114,692
                          cputime_secs  10,000,000   1,000   3,000   12,355     6,000      7,163,000    114,412
